"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","100uF","PCBFootprints:TAJB_AVX-M",""
"2","C2","1","10uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"3","C3, C4","2","22pF","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",""
"4","C5","1","100nF","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",""
"5","D1","1","LED","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",""
"6","H1, H2, H3, H4","4","MountingHole","MountingHole:MountingHole_2.2mm_M2",""
"7","J1","1","HC-05","TerminalBlock_TE-Connectivity:TerminalBlock_TE_282834-6_1x06_P2.54mm_Horizontal",""
"8","J2","1","FTDi","TerminalBlock_TE-Connectivity:TerminalBlock_TE_282834-6_1x06_P2.54mm_Horizontal",""
"9","J3","1","S1 S2","TerminalBlock_TE-Connectivity:TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal",""
"10","J4","1","S3 S4","TerminalBlock_TE-Connectivity:TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal",""
"11","J5","1","S5 S6","TerminalBlock_TE-Connectivity:TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal",""
"12","J6","1","Neopixel","TerminalBlock_TE-Connectivity:TerminalBlock_TE_282834-4_1x04_P2.54mm_Horizontal",""
"13","J7","1","Power","TerminalBlock_TE-Connectivity:TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal",""
"14","R1","1","2K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"15","R2, R4","2","1K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"16","R3","1","10K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"17","Reset1","1","SW_Push_Dual","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm",""
"18","U1","1","ATmega328P-P","Package_QFP:TQFP-32_7x7mm_P0.8mm",""
"19","U2","1","AMS1117","Package_TO_SOT_SMD:TO-252-2",""
"20","Y1","1","16MHz OSC","Oscillator:Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm",""
